기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2019	광진구	자양2동	693	207	486	158	58	100	40	11	29	495	138	357
2019	광진구	자양3동	644	167	477	85	32	53	35	7	28	524	128	396
2019	광진구	자양4동	919	322	597	239	89	150	65	19	46	615	214	401
2019	동대문구	소계	15,477	5,888	9,589	4,201	1,732	2,469	1,014	312	702	10,262	3,844	6,418
2019	동대문구	회기동	364	91	273	65	14	51	27	4	23	272	73	199
2019	동대문구	휘경1동	604	219	385	133	53	80	49	18	31	422	148	274
2019	동대문구	휘경2동	783	212	571	127	39	88	47	14	33	609	159	450
2019	동대문구	청량리동	1,667	619	1,048	620	288	332	107	32	75	940	299	641
2019	동대문구	용신동	1,661	742	919	587	313	274	81	35	46	993	394	599
2019	동대문구	제기동	1,691	646	1,045	488	237	251	127	47	80	1,076	362	714
2019	동대문구	전농1동	1,633	626	1,007	568	243	325	121	36	85	944	347	597
2019	동대문구	전농2동	691	198	493	175	44	131	54	11	43	462	143	319
2019	동대문구	답십리1동	778	261	517	177	59	118	52	15	37	549	187	362
2019	동대문구	답십리2동	1,149	334	815	340	95	245	82	23	59	727	216	511
2019	동대문구	장안1동	1,205	446	759	289	122	167	86	31	55	830	293	537
2019	동대문구	장안2동	1,684	1,007	677	230	91	139	62	11	51	1,392	905	487
2019	동대문구	이문1동	771	251	520	166	60	106	47	16	31	558	175	383
2019	동대문구	이문2동	796	236	560	236	74	162	72	19	53	488	143	345
2019	중랑구	소계	16,157	5,371	10,786	4,826	1,686	3,140	844	211	633	10,487	3,474	7,013
2019	중랑구	면목2동	1,032	333	699	305	96	209	63	16	47	664	221	443
2019	중랑구	면목4동	933	298	635	344	108	236	40	7	33	549	183	366
2019	중랑구	면목5동	365	124	241	99	33	66	22	10	12	244	81	163
2019	중랑구	면목7동	624	202	422	224	77	147	45	7	38	355	118	237
2019	중랑구	상봉1동	1,800	594	1,206	306	100	206	50	11	39	1,444	483	961
2019	중랑구	상봉2동	748	273	475	206	93	113	28	9	19	514	171	343
2019	중랑구	중화1동	695	227	468	166	49	117	36	13	23	493	165	328
2019	중랑구	중화2동	1,182	427	755	506	208	298	75	19	56	601	200	401
2019	중랑구	묵1동	773	235	538	200	60	140	47	5	42	526	170	356
2019	중랑구	묵2동	757	245	512	222	71	151	44	12	32	491	162	329
2019	중랑구	망우3동	874	308	566	320	130	190	50	11	39	504	167	337
2019	중랑구	신내1동	1,765	565	1,200	328	95	233	77	17	60	1,360	453	907
2019	중랑구	신내2동	855	270	585	322	113	209	53	15	38	480	142	338
2019	중랑구	면목본동	1,245	408	837	437	142	295	69	15	54	739	251	488
2019	중랑구	면목3.8동	1,177	398	779	375	138	237	69	17	52	733	243	490
2019	중랑구	망우본동	1,332	464	868	466	173	293	76	27	49	790	264	526
2019	성북구	소계	15,668	4,601	11,067	3,699	1,222	2,477	1,094	226	868	10,875	3,153	7,722
2019	성북구	돈암1동	569	147	422	154	39	115	54	7	47	361	101	260
2019	성북구	돈암2동	497	122	375	107	44	63	30	6	24	360	72	288
2019	성북구	안암동	580	169	411	117	39	78	45	7	38	418	123	295
2019	성북구	보문동	597	173	424	126	46	80	48	13	35	423	114	309
2019	성북구	정릉1동	553	147	406	111	38	73	32	7	25	410	102	308
2019	성북구	정릉2동	877	256	621	170	54	116	54	11	43	653	191	462
2019	성북구	정릉3동	861	277	584	221	75	146	61	12	49	579	190	389
2019	성북구	정릉4동	1,006	289	717	207	69	138	55	9	46	744	211	533
2019	성북구	길음1동	705	153	552	141	33	108	55	4	51	509	116	393
2019	성북구	길음2동	574	167	407	168	47	121	33	5	28	373	115	258
2019	성북구	월곡1동	927	284	643	246	81	165	66	19	47	615	184	431
2019	성북구	월곡2동	747	215	532	193	60	133	48	9	39	506	146	360
2019	성북구	장위1동	866	275	591	253	79	174	77	12	65	536	184	352
2019	성북구	장위2동	693	209	484	205	62	143	58	14	44	430	133	297
2019	성북구	장위3동	526	190	336	132	48	84	35	6	29	359	136	223
2019	성북구	성북동	689	209	480	100	39	61	35	7	28	554	163	391
2019	성북구	삼선동	916	269	647	218	86	132	73	16	57	625	167	458
2019	성북구	동선동	556	175	381	114	48	66	53	20	33	389	107	282
2019	성북구	종암동	1,455	401	1,054	332	101	231	84	23	61	1,039	277	762
2019	성북구	석관동	1,474	474	1,000	384	134	250	98	19	79	992	321	671
2019	강북구	소계	15,501	4,886	10,615	4,455	1,477	2,978	1,221	274	947	9,825	3,135	6,690
2019	강북구	번1동	904	324	580	239	84	155	57	24	33	608	216	392
2019	강북구	번2동	1,028	248	780	331	91	240	154	22	132	543	135	408
2019	강북구	번3동	1,197	307	890	516	155	361	158	25	133	523	127	396
2019	강북구	수유1동	1,077	367	710	336	124	212	87	18	69	654	225	429
2019	강북구	수유2동	1,006	273	733	278	78	200	69	10	59	659	185	474
2019	강북구	수유3동	1,177	441	736	291	116	175	64	17	47	822	308	514
2019	강북구	삼양동	1,299	458	841	425	143	282	83	27	56	791	288	503
2019	강북구	미아동	1,217	414	803	274	119	155	112	25	87	831	270	561
2019	강북구	송중동	1,316	422	894	322	104	218	99	37	62	895	281	614
2019	강북구	송천동	1,676	556	1,120	471	180	291	91	22	69	1,114	354	760
2019	강북구	삼각산동	863	174	689	346	66	280	54	11	43	463	97	366
2019	강북구	우이동	1,084	358	726	215	75	140	74	15	59	795	268	527
2019	강북구	인수동	1,657	544	1,113	411	142	269	119	21	98	1,127	381	746
2019	도봉구	소계	13,407	4,249	9,158	2,797	962	1,835	910	234	676	9,700	3,053	6,647
2019	도봉구	쌍문1동	929	295	634	226	71	155	73	17	56	630	207	423
2019	도봉구	쌍문2동	924	270	654	179	55	124	88	29	59	657	186	471
2019	도봉구	쌍문3동	736	239	497	150	61	89	55	18	37	531	160	371
