기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2019	관악구	중앙동	671	238	433	156	57	99	29	6	23	486	175	311
2019	관악구	인헌동	813	227	586	111	31	80	48	10	38	654	186	468
2019	관악구	남현동	471	170	301	74	24	50	31	7	24	366	139	227
2019	관악구	서원동	746	269	477	144	61	83	25	8	17	577	200	377
2019	관악구	신원동	870	270	600	204	61	143	52	14	38	614	195	419
2019	관악구	서림동	793	279	514	144	63	81	24	6	18	625	210	415
2019	관악구	신사동	889	298	591	232	63	169	36	9	27	621	226	395
2019	관악구	신림동	573	235	338	123	65	58	16	7	9	434	163	271
2019	관악구	난향동	605	181	424	158	34	124	32	5	27	415	142	273
2019	관악구	조원동	698	284	414	140	58	82	27	10	17	531	216	315
2019	관악구	대학동	666	255	411	104	63	41	24	10	14	538	182	356
2019	관악구	은천동	1,290	433	857	374	108	266	75	24	51	841	301	540
2019	관악구	성현동	1,201	317	884	401	95	306	52	5	47	748	217	531
2019	관악구	청룡동	1,148	442	706	230	100	130	46	18	28	872	324	548
2019	관악구	난곡동	1,356	458	898	387	139	248	63	25	38	906	294	612
2019	관악구	삼성동	1,556	500	1,056	436	124	312	104	20	84	1,016	356	660
2019	관악구	미성동	1,180	370	810	222	71	151	59	6	53	899	293	606
2019	서초구	소계	9,405	2,837	6,568	1,494	433	1,061	370	110	260	7,541	2,294	5,247
2019	서초구	서초1동	518	180	338	117	37	80	12	4	8	389	139	250
2019	서초구	서초2동	313	101	212	28	11	17	9	3	6	276	87	189
2019	서초구	서초3동	688	251	437	83	26	57	17	8	9	588	217	371
2019	서초구	서초4동	397	104	293	14	2	12	7	2	5	376	100	276
2019	서초구	잠원동	703	185	518	76	27	49	13	4	9	614	154	460
2019	서초구	반포본동	247	54	193	3	-	3	4	-	4	240	54	186
2019	서초구	반포1동	583	186	397	86	27	59	24	7	17	473	152	321
2019	서초구	반포2동	181	30	151	2	-	2	1	1	-	178	29	149
2019	서초구	반포3동	382	71	311	4	1	3	5	2	3	373	68	305
2019	서초구	반포4동	380	105	275	17	1	16	9	3	6	354	101	253
2019	서초구	방배본동	447	133	314	59	15	44	17	5	12	371	113	258
2019	서초구	방배1동	438	135	303	83	24	59	14	5	9	341	106	235
2019	서초구	방배2동	685	233	452	132	38	94	41	14	27	512	181	331
2019	서초구	방배3동	554	152	402	76	18	58	29	10	19	449	124	325
2019	서초구	방배4동	579	173	406	80	17	63	15	5	10	484	151	333
2019	서초구	양재1동	1,215	339	876	401	110	291	93	17	76	721	212	509
2019	서초구	양재2동	576	218	358	137	58	79	28	10	18	411	150	261
2019	서초구	내곡동	519	187	332	96	21	75	32	10	22	391	156	235
2019	강남구	소계	12,358	3,627	8,731	2,959	955	2,004	213	78	135	9,186	2,594	6,592
2019	강남구	신사동	425	108	317	45	14	31	11	4	7	369	90	279
2019	강남구	논현1동	571	217	354	117	43	74	11	2	9	443	172	271
2019	강남구	논현2동	470	135	335	79	29	50	13	4	9	378	102	276
2019	강남구	삼성1동	261	76	185	26	9	17	5	1	4	230	66	164
2019	강남구	삼성2동	539	164	375	70	23	47	8	3	5	461	138	323
2019	강남구	대치1동	163	31	132	1	-	1	4	2	2	158	29	129
2019	강남구	대치4동	371	120	251	73	27	46	6	-	6	292	93	199
2019	강남구	역삼1동	710	294	416	139	59	80	21	12	9	550	223	327
2019	강남구	역삼2동	506	134	372	55	15	40	15	6	9	436	113	323
2019	강남구	도곡1동	407	133	274	33	17	16	6	1	5	368	115	253
2019	강남구	도곡2동	542	172	370	17	7	10	3	1	2	522	164	358
2019	강남구	개포1동	331	115	216	55	24	31	12	5	7	264	86	178
2019	강남구	개포4동	412	125	287	112	29	83	16	2	14	284	94	190
2019	강남구	일원본동	398	88	310	11	3	8	7	3	4	380	82	298
2019	강남구	일원1동	793	232	561	382	115	267	15	8	7	396	109	287
2019	강남구	일원2동	839	188	651	368	98	270	8	3	5	463	87	376
2019	강남구	수서동	1,529	428	1,101	929	299	630	12	5	7	588	124	464
2019	강남구	세곡동	1,045	328	717	293	92	201	13	7	6	739	229	510
2019	강남구	압구정동	726	176	550	25	7	18	4	2	2	697	167	530
2019	강남구	청담동	483	133	350	47	16	31	9	4	5	427	113	314
2019	강남구	대치2동	457	132	325	41	13	28	8	1	7	408	118	290
2019	강남구	개포2동	380	98	282	41	16	25	6	2	4	333	80	253
2019	송파구	소계	15,717	5,307	10,410	2,827	987	1,840	696	226	470	12,194	4,094	8,100
2019	송파구	풍납1동	642	202	440	161	52	109	17	10	7	464	140	324
2019	송파구	풍납2동	640	187	453	130	43	87	19	4	15	491	140	351
2019	송파구	거여1동	487	183	304	156	58	98	31	7	24	300	118	182
2019	송파구	거여2동	956	573	383	165	48	117	49	8	41	742	517	225
2019	송파구	마천1동	1,000	361	639	155	61	94	67	22	45	778	278	500
2019	송파구	마천2동	877	320	557	235	80	155	69	27	42	573	213	360
2019	송파구	방이1동	282	108	174	24	12	12	17	4	13	241	92	149
2019	송파구	방이2동	956	359	597	192	69	123	44	20	24	720	270	450
2019	송파구	오륜동	240	47	193	3	-	3	1	-	1	236	47	189
2019	송파구	오금동	1,010	288	722	211	58	153	57	12	45	742	218	524
2019	송파구	송파1동	572	197	375	81	29	52	11	3	8	480	165	315
2019	송파구	송파2동	346	109	237	63	17	46	5	3	2	278	89	189
2019	송파구	석촌동	1,263	493	770	294	140	154	30	16	14	939	337	602
2019	송파구	삼전동	848	252	596	283	63	220	36	11	25	529	178	351
2019	송파구	가락본동	704	281	423	127	52	75	31	8	23	546	221	325
2019	송파구	가락1동	33	5	28	7	1	6	1	1	-	25	3	22
2019	송파구	가락2동	537	153	384	89	28	61	26	7	19	422	118	304
2019	송파구	문정1동	381	118	263	58	24	34	7	3	4	316	91	225
2019	송파구	문정2동	361	94	267	15	7	8	2	-	2	344	87	257
2019	송파구	장지동	745	195	550	114	31	83	88	24	64	543	140	403
2019	송파구	위례동	256	61	195	21	5	16	25	7	18	210	49	161
2019	송파구	잠실본동	780	310	470	214	103	111	53	25	28	513	182	331
2019	송파구	잠실4동	289	58	231	2	1	1	-	-	-	287	57	230
2019	송파구	잠실6동	270	73	197	5	-	5	1	-	1	264	73	191
2019	송파구	잠실7동	227	49	178	3	-	3	1	-	1	223	49	174
2019	송파구	잠실2동	408	83	325	6	2	4	7	3	4	395	78	317
2019	송파구	잠실3동	607	148	459	13	3	10	1	1	-	593	144	449
2019	강동구	소계	13,191	4,406	8,785	2,891	1,034	1,857	929	265	664	9,371	3,107	6,264
2019	강동구	강일동	627	179	448	159	34	125	91	18	73	377	127	250
2019	강동구	상일동	455	139	316	70	17	53	28	6	22	357	116	241
2019	강동구	명일1동	593	135	458	81	27	54	33	5	28	479	103	376
2019	강동구	명일2동	277	80	197	43	11	32	22	5	17	212	64	148
2019	강동구	고덕1동	372	123	249	94	27	67	35	11	24	243	85	158
2019	강동구	고덕2동	513	186	327	151	44	107	42	15	27	320	127	193
2019	강동구	암사2동	355	96	259	36	14	22	25	20	5	294	62	232
2019	강동구	암사3동	291	80	211	30	10	20	16	5	11	245	65	180
2019	강동구	천호1동	1,233	409	824	306	124	182	89	20	69	838	265	573
2019	강동구	천호3동	1,219	453	766	371	141	230	104	36	68	744	276	468
2019	강동구	성내1동	432	135	297	54	20	34	5	1	4	373	114	259
2019	강동구	성내2동	1,067	397	670	222	86	136	73	27	46	772	284	488
2019	강동구	성내3동	682	211	471	115	39	76	40	8	32	527	164	363
2019	강동구	둔촌1동	3	2	1	-	-	-	-	-	-	3	2	1
2019	강동구	둔촌2동	775	254	521	135	43	92	59	9	50	581	202	379
2019	강동구	암사1동	1,304	441	863	331	125	206	79	20	59	894	296	598
2019	강동구	천호2동	1,538	584	954	429	169	260	111	34	77	998	381	617
2019	강동구	길동	1,455	502	953	264	103	161	77	25	52	1,114	374	740
